位号,设备名称,设备类别,所属项目,项目编号,所属部门,安装位置,规格型号,生产厂家,供应商,出厂日期,出厂编号,投用日期,资产编号,原值,净值,是否强检,强检有效期,状态,备注,介质,密度,粘度,口径,量程,填料,泄漏等级,流量特性,压力等级,执行机构型号,连接形式,法兰标准,法兰尺寸,阀体材质,阀芯材质,阀座材质,准确度,分度值,防护等级,防爆等级,电气接口尺寸,功率,电机型号,轴承,减速机,最大流量,正常流量,最小流量,操作压力,操作温度,密封件,温度,材质,阀前压力,阀后压力,压差
00438,2个碱罐热电1个油罐,锅炉/压力容器,,,制硝车间办,,30立方,,,,,2011-11-22,00438,69200.0,3460.0,否,,在用,数量：3；原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00445,搅拌装置,其他,,,制硝车间办,,4000*4000,,,,,2011-12-20,00445,44444.44,2222.22,否,,在用,原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00465,水泵ACP3-800HF,泵/风机,,,制硝车间办,,ACP3-800HF,,,,,2012-02-28,00465,73504.27,3675.21,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00466,板式换热器BRO67-1,锅炉/压力容器,,,制硝车间办,,BR067-1,,,,,2012-02-28,00466,45726.5,2286.33,否,,在用,原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00467,循环泵,泵/风机,,,制硝车间办,,ZWX11FMD,,,,,2012-02-28,00467,63675.21,3183.76,否,,在用,原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00468,水泵,泵/风机,,,制硝车间办,,200-315,,,,,2012-02-28,00468,11282.05,564.1,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00469,污水泵,泵/风机,,,制硝车间办,,WQN40,,,,,2012-02-28,00469,6837.61,341.88,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00470,流量计,仪表,,,制硝车间办,1效母液排放管道；1系统蒸发,AXW40,重庆横河川仪有限公司,,,,2012-02-28,00470,23162.39,1158.12,否,,在用,原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00472,减速机8台,其他,,,制硝车间办,,减速机8台,,,,,2012-04-24,00472,41179.48,2058.97,否,,在用,数量：8台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00473,焊机,其他,,,制硝车间办,,焊机,,,,,2012-04-24,00473,3606.84,180.34,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00477,给料机,其他,,,制硝车间办,,,,,,,2012-05-28,00477,7350.43,367.52,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00479,电机启动器,电机,,,制硝车间办,,,,,,,2012-05-28,00479,26666.67,1333.33,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00480,2台真空开关,其他,,,制硝车间办,,,,,,,2012-05-28,00480,9950.43,497.52,否,,在用,数量：2台；原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00481,电机启动柜,电机,,,制硝车间办,,,,,,,2012-05-28,00481,16153.85,807.69,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00482,真空开关,其他,,,制硝车间办,,,,,,,2012-05-28,00482,2098.29,0.0,否,,在用,数量：1台；原类别：电子设备；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00484,电机,电机,,,制硝车间办,,Y2-315M,,,,,2012-05-30,00484,22780.34,1139.02,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00485,电机,电机,,,制硝车间办,,Y2-355L,,,,,2012-05-30,00485,48461.54,2423.08,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00486,电机,电机,,,制硝车间办,,Y2-355M,,,,,2012-05-30,00486,41505.98,2075.3,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00487,电机,电机,,,制硝车间办,,355L-4,,,,,2012-05-30,00487,44871.79,2243.59,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00488,电机,电机,,,制硝车间办,,Y2-132,,,,,2012-05-30,00488,1508.55,75.43,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00489,电机,电机,,,制硝车间办,,Y2-160,,,,,2012-05-30,00489,2927.35,146.37,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00490,电机,电机,,,制硝车间办,,Y2-200,,,,,2012-05-30,00490,5095.73,254.79,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00491,电机,电机,,,制硝车间办,,Y2-200-4,,,,,2012-05-30,00491,10235.9,511.8,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00492,电机,电机,,,制硝车间办,,Y2-50M-4,,,,,2012-05-30,00492,8756.41,437.82,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00493,电机,电机,,,制硝车间办,,Y2-280-4,,,,,2012-05-30,00493,13952.14,697.61,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500,罗茨风机,泵/风机,,,制硝车间办,,2G-250,,,,,2012-08-23,00500,102564.1,5128.21,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00501,水泵,泵/风机,,,制硝车间办,,IJ150-125-40,,,,,2012-08-29,00501,35837.61,1791.88,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00502,水泵,泵/风机,,,制硝车间办,,IJ150-125-40,,,,,2012-08-29,00502,20024.79,1001.24,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00516,振动喂料机,其他,,,制硝车间办,,,,,,,2012-11-27,00516,38034.19,1901.71,否,,在用,原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00517,纯碱液配制桶1--2,锅炉/压力容器,,,制硝车间办,,4000*4000,,,,,2012-12-24,00517,127692.31,6384.62,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00518,干硝桶,锅炉/压力容器,,,制硝车间办,,4000*4000+4000/219-H,,,,,2012-12-24,00518,503247.86,25162.39,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00368,不锈钢桶,锅炉/压力容器,,,制硝车间办,,304700*2100,,,,,2012-12-24,00368,47008.55,2350.43,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00369,除尘水桶,锅炉/压力容器,,,制硝车间办,,Q235B1200*1000,,,,,2012-12-24,00369,15384.62,769.23,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00372,混合凝器,锅炉/压力容器,,,制硝车间办,,2100,,,,,2012-12-24,00372,70940.17,3547.01,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00374,冷凝水桶7个,锅炉/压力容器,,,制硝车间办,,1500*2500,,,,,2012-12-24,00374,115376.07,5768.8,否,,在用,数量：7个；原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00375,冷却水桶,锅炉/压力容器,,,制硝车间办,,14000*9000,,,,,2012-12-24,00375,496666.67,24833.33,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00377,湿式除尘器/水封槽/取样槽/三通管,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00377,127276.07,6363.8,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00378,无阀过滤器返洗水桶/洗澡桶,阀门,,,制硝车间办,,,,,,,2012-12-24,00378,51104.27,2555.21,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00379,絮凝剂配制桶,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00379,35098.29,1754.91,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00380,旋流式除沫器,其他,,,制硝车间办,,,,,,,2012-12-24,00380,53846.15,2692.31,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00381,除沫器,其他,,,制硝车间办,,,,,,,2012-12-25,00381,143589.8,7179.49,否,,在用,原类别：锅炉类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020300001,冷凝水罐管,锅炉/压力容器,,,制硝车间办,,1500*2500,,,,,2018-11-21,020300001,58620.69,16015.03,否,,在用,原类别：锅炉类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00519,精硝水储桶,锅炉/压力容器,,,制硝车间办,,5000*4000,,,,,2012-12-24,00519,1188241.27,59412.06,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00521,母液桶,锅炉/压力容器,,,制硝车间办,,4个,,,,,2012-12-24,00521,1672660.86,83633.04,否,,在用,数量：4个；原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00522,浓盐酸桶,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00522,54418.8,2720.94,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00523,泥浆桶,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00523,159914.53,7995.73,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00524,酸洗桶/弯头,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00524,82846.15,4142.31,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00525,硝滤液桶2个,锅炉/压力容器,,,制硝车间办,,2个,,,,,2012-12-24,00525,279410.26,13970.51,否,,在用,数量：2个；原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00526,小干硝桶/循环水槽/盐搅拌器/液碱桶,锅炉/压力容器,,,制硝车间办,,4个,,,,,2012-12-24,00526,88286.32,4414.32,否,,在用,数量：4个；原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00527,硝水净化桶,锅炉/压力容器,,,制硝车间办,,,,,,,2012-12-24,00527,784891.44,39244.57,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00536,制硝输送机,其他,,,制硝车间办,,,,,,,2013-02-20,00536,64957.27,0.0,否,,在用,数量：1台；原类别：电子设备；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00537,水泵,泵/风机,,,制硝车间办,,,,,,,2013-02-26,00537,54087.18,2704.36,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00538,电机,电机,,,制硝车间办,,,,,,,2013-02-26,00538,2756.41,137.82,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00539,电机,电机,,,制硝车间办,,,,,,,2013-02-26,00539,13952.14,697.61,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00540,购入板式换热器,锅炉/压力容器,,,制硝车间办,,,,,,,2013-02-26,00540,35042.74,1752.14,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00541,游动天轮,其他,,,制硝车间办,,,,,,,2013-02-27,00541,12820.51,641.03,否,,在用,原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00543,压力介质输送器,其他,,,制硝车间办,,P--60,,,,,2013-04-29,00543,72222.22,7672.14,否,,在用,原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00545,闪发桶,锅炉/压力容器,,,制硝车间办,,,,,,,2013-05-22,00545,100588.0,11481.99,否,,在用,原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00546,5台循环泵,泵/风机,,,制硝车间办,,,,,,,2013-05-22,00546,717948.7,35897.44,否,,在用,数量：5台；原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00547,2台喷码机,其他,,,制硝车间办,,,,,,,2013-05-22,00547,143589.74,7179.49,否,,在用,原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00552,硝浆泵,泵/风机,,,制硝车间办,,硝浆泵,,,,,2013-07-27,00552,18700.85,935.04,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00566,二系统制硝技改工程,其他,,,制硝车间办,,制硝二系统一至五效,,,,,2013-12-25,00566,3768692.24,188434.61,否,,在用,原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00567,单台4风机无填料冷却塔,泵/风机,,,制硝车间办,,4000M3/H,,,,,2013-12-30,00567,459829.05,77971.84,否,,在用,原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00569,电机,电机,,,制硝车间办,,Y3-250M,,,,,2014-02-24,00569,8756.41,437.82,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00570,电机,电机,,,制硝车间办,,Y2-315L,,,,,2014-02-24,00570,26683.76,1334.19,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00571,电机,电机,,,制硝车间办,,Y2-280,,,,,2014-02-26,00571,13952.14,697.61,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00572,电机,电机,,,制硝车间办,,Y2-315S,,,,,2014-02-26,00572,20339.32,1016.97,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00573,电机,电机,,,制硝车间办,,Y4002,,,,,2014-02-26,00573,81435.9,4071.8,否,,在用,原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00576,真空泵,泵/风机,,,制硝车间办,,,,,,,2014-05-21,00576,4529.91,226.5,否,,在用,原类别：泵类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00577,焊机,其他,,,制硝车间办,,,,,,,2014-05-21,00577,3606.84,180.34,否,,在用,原类别：其他；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00578,板式换热器,锅炉/压力容器,,,制硝车间办,,PSX202--40,,,,,2014-06-21,00578,23076.92,1153.85,否,,在用,原类别：蒸发系统；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00579,板式换热器,锅炉/压力容器,,,制硝车间办,,PS151-50,,,,,2014-06-27,00579,66666.67,3333.33,否,,在用,原类别：蒸发系统；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00581,电磁阀,阀门,,,制硝车间办,除盐水箱排污管；1系统蒸发,DN125,上海法拉自控阀门有限公司,,,,2014-08-25,00581,17094.02,3981.22,否,,在用,原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00583,铜管铜(铝)片散热器(3台),其他,,,制硝车间办,,S2-24-54,,,,,2014-09-18,00583,26239.31,1311.97,否,,在用,数量：3台；原类别：蒸发系统；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00585,打包机,其他,,,制硝车间办,,KS--1100,,,,,2015-04-27,00585,23931.62,7089.28,否,,在用,原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586,电机,电机,,,制硝车间办,,Y200L-2/37KW,,,,,2015-05-21,00586,7085.47,354.27,否,,在用,原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00587,泵类,泵/风机,,,制硝车间办,,泵,,,,,2015-05-28,00587,12454.7,622.74,否,,在用,原类别：泵类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00588,电机,电机,,,制硝车间办,,,,,,,2015-05-28,00588,6115.38,305.77,否,,在用,原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00591,双螺杆喂料机一套,其他,,,制硝车间办,,WS30型,,,,,2015-08-25,00591,6017.09,1972.59,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
